rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/value_loss,train/std,train/explained_variance,train/clip_range
862.35,606208,148,1559.0951019200002,221,2738,0.0003,-5.890380972623825,-0.007101417769445106,0.048876953125,-0.06817883998155594,0.0054895123,1470,0.0010434774347231723,1.1428968906402588,0.9561871439218521,0.2
871.35,610304,149,1583.2886839300002,223,2733,0.0003,-5.8937968671321865,-0.007458442918141373,0.0624267578125,-0.07410494983196259,0.0050912444,1480,0.0014705151566886342,1.1519304513931274,0.9867623038589954,0.2
880.84,614400,150,1602.9694825500003,224,2735,0.0003,-5.909681057929992,-0.008827423700131476,0.0690185546875,-0.07610052824020386,0.008160884,1490,0.002330044560221722,1.1535418033599854,0.9658997766673565,0.2
880.84,618496,151,1600.59544361,226,2731,0.0003,-5.898442548513413,-0.00981044868240133,0.08173828125,-0.06618718802928925,0.00858086,1500,0.0010104025255714077,1.151376724243164,0.9100610241293907,0.2
871.32,622592,152,1580.6778753799997,227,2734,0.0003,-5.885669922828674,-0.009594294562702999,0.08544921875,-0.0774143785238266,0.011045815,1510,0.0010274860509525753,1.1506010293960571,0.9877457367256284,0.2
843.08,626688,153,1522.0371889199998,229,2733,0.0003,-5.872164505720138,-0.009268730820622295,0.07685546875,-0.07721148431301117,0.0058842152,1520,0.0009207870054524392,1.1461467742919922,0.9611465483903885,0.2
843.08,630784,154,1521.3915567000001,230,2736,0.0003,-5.859870558977127,-0.0062011389876715835,0.0359375,-0.07902725785970688,0.0043207966,1530,0.003079976268054452,1.1473227739334106,0.9786064606159925,0.2
833.58,634880,155,1500.8511780000001,231,2738,0.0003,-5.865606665611267,-0.00686326565046329,0.06123046875,-0.07195267081260681,0.0068491013,1540,0.0006271813192142873,1.1516680717468262,0.9737655110657215,0.2
824.7,638976,156,1478.72573313,233,2733,0.0003,-5.873100852966308,-0.009916916993097403,0.0643310546875,-0.07426249235868454,0.008046109,1550,0.002501098861102946,1.1544326543807983,0.9802735168486834,0.2
834.3,643072,157,1494.47797772,235,2734,0.0003,-5.8874173879623415,-0.010400486001162789,0.0810546875,-0.07879127562046051,0.0065395883,1560,0.003446157799771754,1.1608883142471313,0.9535177983343601,0.2
