time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/value_loss,train/std,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
502,827.03,414,1695744,1434.6702714199994,3375,0.0828857421875,4130,0.6965732935816049,0.9983700513839722,0.1840013712644577,0.0015000104904174805,-0.003344346658559516,0.008856775,0.0003,-5.539895421266555,0.2
503,807.78,415,1699840,1396.1676898800004,3377,0.157373046875,4140,0.2505422088317573,0.993705689907074,0.021952882409095764,0.05870312452316284,-0.005591114985872991,0.010443607,0.0003,-5.538765621185303,0.2
504,798.42,416,1703936,1378.2268263700003,3379,0.120654296875,4150,0.717226680368185,0.9938791394233704,0.3129400610923767,0.34574562311172485,-0.005639841331867501,0.012276123,0.0003,-5.529172712564469,0.2
505,798.43,417,1708032,1377.891697,3380,0.099169921875,4160,0.24616750311106445,0.988701343536377,0.09052290767431259,0.36244696378707886,-0.0033348226628731937,0.007401595,0.0003,-5.522424679994583,0.2
506,804.83,418,1712128,1393.6869422,3381,0.1341552734375,4170,0.6773943599313498,0.9906768798828125,0.3481811285018921,0.3008706569671631,-0.0070621498482069,0.010957414,0.0003,-5.516380941867828,0.2
507,804.89,419,1716224,1393.06660331,3382,0.1601318359375,4180,0.2722789398394525,0.9891704320907593,0.0531635656952858,0.5615452826023102,-0.0076770568441133944,0.011702211,0.0003,-5.51869523525238,0.2
508,804.89,420,1720320,1394.2046286,3384,0.1669677734375,4190,0.5978125251829625,0.9867908954620361,0.3031037747859955,0.4549158811569214,-0.008235382061684504,0.011689686,0.0003,-5.508822673559189,0.2
509,804.98,421,1724416,1392.6633386999997,3385,0.1263671875,4200,0.3691996581852436,0.9848270416259766,0.13422934710979462,0.07569998502731323,-0.0046970584837254135,0.007599201,0.0003,-5.497851824760437,0.2
510,804.98,422,1728512,1393.5839336099996,3386,0.0853515625,4210,0.5671409018337726,0.9839364290237427,0.07146444916725159,0.19045370817184448,-0.004237022160668858,0.0071626976,0.0003,-5.491156286001205,0.2
511,771.21,423,1732608,1320.29657196,3387,0.1225341796875,4220,0.4730982532724738,0.9874088764190674,0.13670149445533752,0.0010479092597961426,-0.005121331915142946,0.010030035,0.0003,-5.498385685682297,0.2
512,771.21,424,1736704,1317.3829753299997,3389,0.0941650390625,4230,0.5128722991794348,0.9888265132904053,0.14583149552345276,0.5268877446651459,-0.0037195355107542127,0.009145595,0.0003,-5.508538085222244,0.2
513,780.59,425,1740800,1334.2766058199998,3390,0.120556640625,4240,0.37136784978210924,0.9923386573791504,0.022545553743839264,0.06274008750915527,-0.0018677083658985793,0.010003177,0.0003,-5.514752393960952,0.2
514,779.83,426,1744896,1332.45887853,3391,0.0873291015625,4250,0.6123531065881253,0.9949946403503418,0.2637903392314911,0.2537854313850403,-0.004305288870818913,0.008286297,0.0003,-5.525121027231217,0.2
515,771.65,427,1748992,1314.7580215900002,3393,0.1049072265625,4260,0.36392397675663235,0.996039867401123,0.19884370267391205,0.5273263156414032,-0.005640096426941454,0.009323204,0.0003,-5.529585170745849,0.2
516,762.01,428,1753088,1296.9819827500003,3394,0.1647705078125,4270,0.6267738755792379,0.9965920448303223,0.456557035446167,0.2549665570259094,-0.006407555963960476,0.013887035,0.0003,-5.529163187742233,0.2
517,772.21,429,1757184,1316.91242445,3395,0.15341796875,4280,0.3667261004447937,0.9959912896156311,0.056837297976017,0.3150773048400879,-0.006022268900414929,0.014828578,0.0003,-5.53384565114975,0.2
518,774.13,430,1761280,1318.32558612,3397,0.1104736328125,4290,0.6007496986538172,0.9908199310302734,0.2913210391998291,0.09172224998474121,-0.0034632974944543093,0.010596734,0.0003,-5.523313844203949,0.2
519,766.71,431,1765376,1299.1592113299998,3398,0.135546875,4300,0.5170596772804856,0.9919822216033936,0.18691030144691467,0.07340937852859497,-0.005246211210032925,0.010182207,0.0003,-5.512782096862793,0.2
520,747.46,432,1769472,1261.47103151,3399,0.0967529296875,4310,0.514460014924407,0.992512047290802,0.21622052788734436,0.3645607829093933,-0.003856734384316951,0.008188016,0.0003,-5.516370820999145,0.2
521,737.63,433,1773568,1242.6285706899998,3401,0.0972412109375,4320,0.5155470641329885,0.9939056634902954,0.1750352531671524,0.4700160026550293,-0.0035895045090001076,0.00842827,0.0003,-5.5198083281517025,0.2
522,749.66,434,1777664,1263.0733205499998,3402,0.1154541015625,4330,0.47989218346774576,0.9893494844436646,0.11246729642152786,0.43247729539871216,-0.004161299316911027,0.009170351,0.0003,-5.521183282136917,0.2
523,740.75,435,1781760,1246.20306016,3404,0.12080078125,4340,0.533194494061172,0.9895628690719604,0.3563472330570221,0.41493862867355347,-0.006107005054946058,0.011124008,0.0003,-5.513688737154007,0.2
524,755.06,436,1785856,1280.7952090899998,3405,0.1493408203125,4350,0.2828270893543959,0.9919443726539612,0.044849518686532974,0.41336244344711304,-0.0031757651682710274,0.011825119,0.0003,-5.513161611557007,0.2
525,739.6,437,1789952,1245.10853117,3407,0.11796875,4360,0.7297493558377027,0.9930764436721802,0.23846685886383057,0.22131317853927612,-0.005265910131856799,0.009264868,0.0003,-5.516521912813187,0.2
526,749.19,438,1794048,1264.55016616,3408,0.16318359375,4370,0.2942088725976646,0.9946284294128418,0.04071711748838425,0.5643984079360962,-0.00602928486187011,0.013593081,0.0003,-5.517612618207932,0.2
527,739.74,439,1798144,1246.33912451,3410,0.13544921875,4380,0.6071182688698172,1.0006948709487915,0.16505031287670135,0.19790410995483398,-0.0067059738008538265,0.009727806,0.0003,-5.530178415775299,0.2
