trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,best_dtw,mean_rmse_same_dir,mean_corr_same_dir,mean_dtw_same_dir
104,-1.0,40,26,0.06563627810970032,0.10322895838525126,0.006106662923871035,0.08420123018430865,0.09568271712692017,0.04328836656507602
105,-1.0,40,1,0.0804173724804275,0.11122466532763489,0.006914323952676756,0.08491451939818159,0.10195849159153055,0.039125227652540374
106,-1.0,40,12,0.0020048014522238574,0.47662374360986015,0.001309714244232624,0.07971217370993136,0.5096245480018007,0.0784014050954572
107,-1.0,40,1,0.07768378259513777,0.1242343704553674,0.0060560446161262195,0.08334795483108219,0.11192778048732799,0.03673127486676049
108,-1.0,40,28,0.06869757259627404,0.10416839628641687,0.005755276333092004,0.08374955506225672,0.10010667575172727,0.03991834232791594
109,-1.0,40,19,0.049474964080544186,0.09966782519817774,0.010856522232647927,0.08467416205469239,0.09677981336992494,0.045751588267384895
110,-1.0,40,26,0.06519199112882493,0.1042332458216745,0.0061464705389219125,0.08389067710266482,0.09583799255913805,0.041361113915993675
111,-1.0,40,38,0.07410221352110599,0.13415777790173328,0.006978157374691501,0.0834864041729558,0.11716051157005389,0.03572503190408608
112,-1.0,40,1,0.07744192871708735,0.11552872420323126,0.004038075204181353,0.08239283284460516,0.10605237557082595,0.037011383069445326
113,-1.0,40,1,0.07964573103725432,0.10863951942427981,0.006301522895748547,0.08478112165603831,0.09929406996200145,0.037972436374173524
114,-1.0,40,10,0.07722557346635207,0.11642850625012424,0.004487366299478559,0.08294102978881812,0.10534706182149403,0.0374957546428865
115,-1.0,40,9,0.002827883110387119,0.22789169436923826,0.0020530940251875327,0.08712627793813484,-0.21175609483632768,0.08584033777820502
116,-1.0,40,30,0.04035509631427172,0.4245500613814493,0.008212944627277577,0.06144429509029187,0.3679789085078869,0.036552160883828996
117,-1.0,40,2,0.10228524861665432,0.1327076746447755,0.00416086811760938,0.08337041936331982,0.1118064293805138,0.034801158696038795
118,-1.0,40,23,0.09830454997865366,0.1663025536386435,0.00286045774230644,0.08130648124122393,0.14112850112427283,0.028964589709756138
119,-1.0,40,2,0.09535306762684469,0.16172963813194768,0.004373614542861828,0.07990916090830116,0.13659401757270154,0.033144989827126235
120,-1.0,40,2,0.10167200221273157,0.134327824739081,0.0027819108394073876,0.08281409698929187,0.11326526148251129,0.03389875362007261
121,-1.0,40,38,0.07108704126031483,0.1365657396600021,0.007731865193821906,0.08001786037845741,0.12179274545693908,0.038650197748008805
122,-1.0,40,30,0.0809371425961989,0.11931465107561051,0.004096962890943503,0.08259982282450379,0.1089085917207199,0.03545180147900663
123,-1.0,40,2,0.09324741181813118,0.1898639013617974,0.0046929163951288195,0.0802278161131313,0.16050207105909906,0.030288339042721553
124,-1.0,40,1,0.07735265564649366,0.11442549145903137,0.0043922490242300025,0.0828912649316377,0.10529265719184355,0.03594877130762969
125,-1.0,40,2,0.09841166342351966,0.14647811347852502,0.0042077980971912165,0.0810038373501529,0.12384607947496613,0.032120301109897206
126,-1.0,40,34,0.0700059215397357,0.10080945807225877,0.006175897825383093,0.08446362050018039,0.08998467269355057,0.03965720733617527
127,-1.0,40,5,0.001784894952069931,0.03122376196803888,0.001166962424659705,0.08448188340505364,0.10992886603142696,0.0830937717024084
128,-1.0,40,30,0.045094503087824554,0.38363040944484206,0.007296479330710256,0.06322047899814112,0.33322199577602074,0.03508095456666468
129,-1.0,40,38,0.07552805605929239,0.12288310679697145,0.006176531961384038,0.08405406881057358,0.10861600296449192,0.037279941525760044
130,-1.0,40,30,0.08046217563346567,0.12334995839901951,0.005297166147482216,0.08326228695808688,0.11195743946399742,0.03417715070952683
