trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,mean_rmse_same_dir,mean_corr_same_dir
118,-1.0,20,31,0.1089186719663608,0.19802477545280814,0.11166221049064684,0.1391273528364513
119,-1.0,20,31,0.12005172810621645,0.18558706072192946,0.12286304022266388,0.130293843083568
120,-1.0,20,31,0.1140167584290276,0.1583000318979469,0.11656456409648112,0.11127120988838717
121,-1.0,20,31,0.1250730278467535,0.16070807516805888,0.12775666275525266,0.11268814971310977
122,-1.0,20,31,0.11694833564777896,0.15089775426402416,0.11948475486705135,0.10598649292660914
123,-1.0,20,31,0.11187775031498638,0.23215906013237367,0.11488568921763091,0.16305984734731854
124,-1.0,20,31,0.11787663605852917,0.143433861324104,0.1203944732393106,0.10071827479253329
125,-1.0,20,31,0.11982101970195279,0.16655396641146872,0.12251236513671955,0.11695799595008652
126,-1.0,20,31,0.11980967549251353,0.1294531500871578,0.12228357076447909,0.09118553915780521
127,-1.0,20,31,0.13734757143663123,0.2596569579952834,0.1397748587484588,0.1804620562150149
128,-1.0,20,31,0.07247839273351553,0.4659368334911457,0.0761436645703772,0.3270255018836547
129,-1.0,20,31,0.12310303410568732,0.15613061152211818,0.12577692109250455,0.10972391468283497
130,-1.0,20,31,0.11487533150489364,0.15693447495768037,0.11743438439439609,0.11026729468707464
131,-1.0,20,31,0.12530983921306885,0.13344842803752993,0.12788493533982287,0.09376061682833
132,-1.0,20,31,0.11861621761501209,0.15961042337703382,0.12121516584180332,0.11209265908925317
133,-1.0,20,31,0.12191739007066868,0.14657605837365953,0.12452618416557486,0.10306402871901763
134,-1.0,20,31,0.13167543809711013,-0.3855387048589406,0.13392365860320773,-0.27054691677466586
135,-1.0,20,31,0.08018900264482991,0.4413596348804869,0.08383111202440172,0.30983815827027256
136,-1.0,20,31,0.11363406639278892,0.1785280774630359,0.1162973010677365,0.12547268645865134
137,-1.0,20,31,0.11956892350420478,0.1547486303647416,0.1221756610704865,0.10883237322378236
138,-1.0,20,31,0.12075039687099125,0.12336607522732698,0.12322161491843624,0.08679479427342363
139,-1.0,20,31,0.12303761912312927,0.1412492452179645,0.12561142997972957,0.09928027405567051
140,-1.0,20,31,0.11516778056732502,0.16358112865243,0.11776014656542233,0.11499166541871719
141,-1.0,20,31,0.1244237653471832,0.12892536866510906,0.12698015604845442,0.0905577111152109
142,-1.0,20,31,0.11029219972461592,0.18191777093001402,0.11295758484763405,0.12782547957154605
143,-1.0,20,31,0.12153020582420045,0.16459156613231388,0.12418975572177163,0.11563357583115064
144,-1.0,20,31,0.12300776704937666,0.1424615098378284,0.1255485576860129,0.0997874951386483
145,-1.0,20,31,0.12399688647222176,0.15295686298967406,0.12664975099555503,0.10754011662862617
146,-1.0,20,31,0.12002966690079675,0.129615795093705,0.12250627760217565,0.09106232870502359
147,-1.0,20,31,0.1368354543333476,0.0747145963702982,0.1392215116219817,0.051695792169386745
148,-1.0,20,31,0.07627829409624697,0.4381129598836739,0.07982570525768606,0.3075472451960694
149,-1.0,20,31,0.12395718847189419,0.1520537439912627,0.1266093110407839,0.10676661821501279
150,-1.0,20,31,0.11804331980981309,0.13670868692573973,0.12052594043397025,0.09604963988053916
151,-1.0,20,31,0.12315538916566897,0.1403979787904554,0.125738829570861,0.09871499219367001
152,-1.0,20,31,0.11714047781854117,0.1592640477339104,0.11972834950405815,0.11193801921521643
153,-1.0,20,31,0.12856190259621236,0.09637691950413779,0.1310220527081917,0.06771132767654077
154,-1.0,20,31,0.1205608869585162,0.12527621928092228,0.12301371391350246,0.08796930555197609
155,-1.0,20,31,0.1207143320646047,0.16815031341475611,0.12343246020199328,0.11820336006848856
156,-1.0,20,27,0.02123785454381669,0.6514576262262859,0.02511373666077334,0.46178810872839626
157,-1.0,20,31,0.12585614873837805,0.11786783872260682,0.12836946147836617,0.08290164153041499
158,-1.0,20,31,0.1143112646600052,0.15948200232876247,0.11690712913762571,0.1120072738016348
159,-1.0,20,31,0.12930697710096192,0.0818176778035343,0.13174048737474406,0.057702388474020205
160,-1.0,20,31,0.1180630602342604,0.168924256971351,0.12073670990908106,0.11867121565744194
161,-1.0,20,31,0.12639921314917882,0.13650573476526526,0.12899218643539717,0.0958578763627108
162,-1.0,20,31,0.12020093491473584,0.15291745971964513,0.12279159268014248,0.1074221024664038
163,-1.0,20,31,0.12375172079389304,0.13760225883908878,0.12632232962388062,0.09663689100054854
164,-1.0,20,31,0.11798803792875522,0.1595213451882484,0.12056122449899746,0.11207770339382997
165,-1.0,20,31,0.12211078967939362,0.15986521134121554,0.12481135768983173,0.11232554692145924
166,-1.0,20,31,0.11479514074279791,0.17202799517083012,0.11741288254003077,0.12079228952071874
167,-1.0,20,31,0.13853281726557065,-0.34923809492966074,0.14083888047378898,-0.2451875738026954
168,-1.0,20,31,0.0663754887042148,0.49648757778319075,0.0703210784777701,0.3483905349210162
169,-1.0,20,31,0.12028723027109843,0.17893390810616344,0.12300806136997951,0.12567261310088698
170,-1.0,20,31,0.11986609626706068,0.15379743418402073,0.12245315553083849,0.10791620379464639
171,-1.0,20,31,0.1214358017299514,0.16028351698694623,0.12410783860042476,0.11263434739216086
172,-1.0,20,31,0.1232689185173397,0.1097893899610027,0.12570476143563453,0.07714956235123019
